titre,entreprise,secteur,localisation,competences,experience,contrat,description,source,text_for_matching,text_clean,cluster_dbscan
Stagiaire en comptabilité / / bac+2,PJ,Comptabilité / Gestion / Audit,Casablanca,,,Stage,"formation en comptabilite / gestion (bac+2 ou plus) bonne maitrise dexcel rigueur, confidentialite et sens des responsabilites motivation pour evoluer en cabinet fiduciaire nous offrons : stage remunere encadrement et apprentissage pratique possibilite dintegration apres le stage",marocannonces,"Stagiaire en comptabilité / / bac+2 Comptabilité / Gestion / Audit formation en comptabilite / gestion (bac+2 ou plus) bonne maitrise dexcel rigueur, confidentialite et sens des responsabilites motivation pour evoluer en cabinet fiduciaire nous offrons : stage remunere encadrement et apprentissage pratique possibilite dintegration apres le stage",stagiaire comptabilite bac comptabilite gestion audit formation comptabilite gestion bac bon maitrise dexcel rigueur confidentialite sens responsabilite motivation evoluer cabinet fiduciaire offrir stage remuner encadrement apprentissage pratique possibilite dintegration apre stage,7
dessinateur projeteur,PJ,Industrie / Ingénierie / Energie,Casablanca,"Mecanique, AutoCAD, SketchUp","souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation",Interim,"- diplome en genie mecanique, construction metallique ou dessin industriel - maitrise des logiciels de conception (autocad, sketchup ou equivalent) - experience souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation",marocannonces,"dessinateur projeteur Mecanique, AutoCAD, SketchUp Industrie / Ingénierie / Energie - diplome en genie mecanique, construction metallique ou dessin industriel - maitrise des logiciels de conception (autocad, sketchup ou equivalent) - experience souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation",dessinateur projeteur mecaniqu autocad sketchup industrie ingenierie energie diplome genie mecaniqu construction metalliqu dessin industriel maitrise logiciel conception autocad sketchup equivalent experience souhaitee poste similaire rigueur precision esprit dequip capacite danalyse sens lorganisation,-1
Infirmière préleveuse laboratoire d'analyses médic,IMMCELL,Santé / Médical,Rabat,la langue francaise. poste cdi apres periode d'essai.,"confirmee des prelevements adultes, enfants et nouveaux nes ainsi que des enregistrements de dossiers de patients de preference sur le logiciel kalisil. la candidate doit avoir une excellente capacite relationnelle, une presentation impeccable et maitriser la langue francaise. poste cdi apres periode d'essai.",A discuter,,marocannonces,Infirmière préleveuse laboratoire d'analyses médic la langue francaise. poste cdi apres periode d'essai. Santé / Médical,infirmiere preleveus laboratoir analyse medic langue francais post cdi apre periode essai sante medical,-1
Electricien,TRAVAUX,Construction / Btp,Marrakech,Securite,minimum de 3 ans dans le,CDI,"les installations electriques, notamment le cablage et les armoires electriques, il devra etre capable de lire et dinterpreter des plans electriques, assurer linstallation, la mise en service, la maintenance et le depannage des equipements, tout en respectant les normes de securite en vigueur. nous recherchons une personne serieuse, autonome et ayant un bon esprit dequipe. le poste est a pourvoir des que possible, avec des conditions a definir selon le profil.",marocannonces,"Electricien Securite Construction / Btp les installations electriques, notamment le cablage et les armoires electriques, il devra etre capable de lire et dinterpreter des plans electriques, assurer linstallation, la mise en service, la maintenance et le depannage des equipements, tout en respectant les normes de securite en vigueur. nous recherchons une personne serieuse, autonome et ayant un bon esprit dequipe. le poste est a pourvoir des que possible, avec des conditions a definir selon le profil.",electricien securite construction btp installation electrique cablage armoire electrique devoir capable lire dinterpreter plan electrique assurer linstallation mise service maintenance depannage equipement respecter norme securite vigueur rechercher serieus autonome bon esprit dequipe poste pourvoir condition definir profil,-1
Support it,distra,Informatique / Multimédia / Internet,Deroua,,dans un poste similaire.,A discuter,"-bac +3 / bac +5 en informatique, reseaux ou systemes. -minimum 2 ans dexperience dans un poste similaire.",marocannonces,"Support it Informatique / Multimédia / Internet -bac +3 / bac +5 en informatique, reseaux ou systemes. -minimum 2 ans dexperience dans un poste similaire.",support informatique multimedia internet bac bac informatique reseau systeme minimum dexperience poste similaire,6
Commercial pro b2b,,Commercial / Vente,Casablanca,,,A discuter,,marocannonces,Commercial pro b2b Commercial / Vente,commercial pro commercial vente,0
Ingénieur chargé des appels d’offres & développement,confidentiel,Maintenance / Entretien,Rabat,Genie electrique,dans le,A discuter,- ingenieur en genie electrique. - maitrise du metier de la maintenance multi-technique - minimum 2 ans dexperience dans le,marocannonces,Ingénieur chargé des appels d’offres & développement Genie electrique Maintenance / Entretien - ingenieur en genie electrique. - maitrise du metier de la maintenance multi-technique - minimum 2 ans dexperience dans le,ingenieur charge appel doffre developpemer genie electriqu maintenance entretien ingenieur genie electriqu maitrise metier maintenance multi technique minimum dexperience,1
Assistante import,confidentiel,Entreprise / Import / Export,Casablanca,Commerce,minimum 2 ans dans le,A discuter,diplome : bac+4 en commerce international - experience : minimum 2 ans dans le,marocannonces,Assistante import Commerce Entreprise / Import / Export diplome : bac+4 en commerce international - experience : minimum 2 ans dans le,assistant import commerc entreprise import export diplome bac commerce international experience minimum,9
Candidature technicien topographe,foncière alia,Immobilier,Rabat,,minimum en topographie ou vrd qualites requises rigueur et precision autonomie sur le terrain sens de lanalyse reactivite et capacite a remonter les in,CDI,formation en topographie (technicien specialise ou equivalent) 3 ans dexperience minimum en topographie ou vrd qualites requises rigueur et precision autonomie sur le terrain sens de lanalyse reactivite et capacite a remonter les in,marocannonces,Candidature technicien topographe Immobilier formation en topographie (technicien specialise ou equivalent) 3 ans dexperience minimum en topographie ou vrd qualites requises rigueur et precision autonomie sur le terrain sens de lanalyse reactivite et capacite a remonter les in,candidature technicien topographe immobilier formation topographie technicien specialise equivalent dexperience minimum topographie vrd qualites requis rigueur precision autonomie terrain sen lanalyse reactivite capacite remonter,-1
Commis/coursier en douane,TRANSPORTEC,Entreprise / Import / Export,Casablanca,- experience confirmee dans le,confirmee dans le,CDI,,marocannonces,Commis/coursier en douane - experience confirmee dans le Entreprise / Import / Export,commettre coursier douane experience confirme entreprise import export,9
Chargée des opérations,Z-Evolution,Santé / Médical,Rabat,Francais,s de moins d'un an sur la,Anapec,s recherches: - bac+2 en secretariat - bonne presentation - bonne elocution en francais,marocannonces,Chargée des opérations Francais Santé / Médical s recherches: - bac+2 en secretariat - bonne presentation - bonne elocution en francais,chargee operation francai sante medical recherche bac secretariat bon presentation bon elocution francai,-1
Chargé des méthodes,confidentiel,Maintenance / Entretien,Rabat,,"dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",A discuter,"-bac +2 / bac +3 / bac +5 en maintenance industrielle, electrotechnique, electromecanique, genie industriel ou methodes -minimum 5 ans dexperience dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",marocannonces,"Chargé des méthodes Maintenance / Entretien -bac +2 / bac +3 / bac +5 en maintenance industrielle, electrotechnique, electromecanique, genie industriel ou methodes -minimum 5 ans dexperience dans un poste similaire, idealement en maintenance multitechnique ou facility management -bonne maitrise des processus de maintenance preventive et corrective -maitrise dune gmao (planification, suivi des interventions) -capacite danalyse des indicateurs de performance -connaissances de base en electromecanique, electricite batiment, plomberie, climatisation - poste base a rabat",charge methode maintenance entretien bac bac bac maintenance industriel electrotechniqu electromecaniqu genie industriel methode minimum dexperience poste similaire idealement maintenance multitechniqu facility management bon maitrise processus maintenance preventiv correctif maitrise dune gmao planification intervention capacit danalyse indicateur performance connaissance base electromecaniqu electricite batiment plomberie climatisation post base rabattre,-1
