titre,entreprise,secteur,localisation,competences,experience,contrat,text_clean
Agent de sécurité incendie ssiap 1 /,Multinational,Sécurité / Surveillance / Gardiennage,Casablanca,"ssiap 1 en cours de validite (obligatoire) carte professionnelle cnaps valide sst a jour apprecie bonne presentation et sens du service rigueur, reactivite et esprit dequipe.",,CDD,agent sécurité incendie ssiap ssiap cours validite obligatoire carte professionnel cnap valide jour apprecie presentation sens service rigueur reactivite esprit dequip sécurité surveillanc gardiennag
Manutentionnaire à,Confidentiel,Transport / Achat / Logistique,Marrakech,,"en entrepot est un plus (non obligatoire).nous vous proposons un cadre de travail agreable et challengeant, avec une gestion de carriere au point et une declaration aupres des organismes sociaux a partir du 1er mois d'integration. si votre profil correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire",A discuter,manutentionnaire transport achat logistique
Infographiste j/f,WALLDESIGN,Informatique / Multimédia / Internet,Casablanca,"maitrise des logiciels pao (photoshop, illustrator, indesign...) sens de la creativite et du design passion pour lunivers de la decoration dinterieur esprit dinitiative et travail en equipe poste base a maarif casablanca - merci denvoyer votre cv via ce site",,CDI,infographiste maitrise logiciel photoshop illustrator indesign creativite design passion luniver decoration dinterieur esprit dinitiativ travail equipe poste base maarif casablanca denvoyer site informatique multimédia internet
Réceptionniste (h/f),Multinational,Tourisme / Hôtellerie / Restauration,Marrakech,"- bac+2 minimum en hotellerie, tourisme ou equivalent - premiere experience reussie dans un poste similaire - bonne presentation et excellent sens du service - maitrise du francais et de langlais (une 3eme langue est un atout) - maitrise des outils informatiques (logiciels hoteliers type opera est un plus) - disponibilite et flexibilite (horaires tournants)",reussie dans un poste similaire - bonne presentation et excellent sens du service - maitrise du francais et de langlais (une 3eme langue est un atout) - maitrise des outils informatiques (logiciels hoteliers type opera est un plus) - disponibilite et flexibilite (horaires tournants),Interim,réceptionniste heure minimum hotellerie tourisme equivalent premier experience reussie poste similaire presentation excellent sens service maitrise francai langlais langue atout maitrise outil informatique logiciel hotelier operer disponibilit flexibilite horaire tournant tourism hôtellerie restauration
Comptable pour un cabinet fiduciaire /,Pj,Comptabilité / Gestion / Audit,Casablanca,,"souhaitee, notamment dans letablissement du bilan.",CDI,comptable cabinet fiduciaire comptabilité gestion audit
Commercial(e) b2b / bac+4,PJ,Commercial / Vente,Casablanca,"relationnelles et de negociation - autonomie, rigueur et esprit dinitiative - bonne maitrise du francais (anglais souhaite) - permis de conduire recommande conditions : - remuneration fixe + com","en vente b2b, idealement dans le rayonnage, lequipement industriel ou lamenagement professionnel - excellentes",Interim,commercial relationnelle negociation autonomie rigueur esprit dinitiativ maitrise francai anglais souhaiter permettre conduire recommander condition remuneration fixe commercial vente
Assistante rh en intérim,PJ,Accueil / Secrétariat / Administration,Casablanca,"en communication, rigueur et respect de la confidentialite. - connaissance des bases du droit du travail.","en administration du personnel. - autonome, organise(e) et capable de gerer les priorites dans un environnement dynamique. - bonnes",Interim,assistant intérim communication rigueur respect confidentialite connaissance base droit travail accueil secrétariat administration
dessinateur projeteur,PJ,Industrie / Ingénierie / Energie,Casablanca,"- diplome en genie mecanique, construction metallique ou dessin industriel - maitrise des logiciels de conception (autocad, sketchup ou equivalent) - experience souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation","souhaitee dans un poste similaire - rigueur, precision et esprit dequipe - capacite danalyse et sens de lorganisation",Interim,dessinateur projeteur diplome genie mecaniqu construction metalliqu dessin industriel maitrise logiciel conception autocad sketchup equivalent experience souhaitee poste similaire rigueur precision esprit dequip capacite danalyse sens lorganisation industrie ingénieri energie
Responsable / coordinateur logistique,PJ,Industrie / Ingénierie / Energie,Casablanca,"- bac+3 en logistique, gestion ou equivalent - minimum 3 ans dexperience en logistique ou gestion dequipes - sens de lorganisation, rigueur et capacite a gerer plusieurs priorites - bonne maitrise dexcel (connaissance dodoo souhaitee)","en logistique ou gestion dequipes - sens de lorganisation, rigueur et capacite a gerer plusieurs priorites - bonne maitrise dexcel (connaissance dodoo souhaitee)",Interim,responsable coordinateur logistique logistique gestion equivalent minimum dexperience logistique gestion dequipe sens lorganisation rigueur capacite gerer priorite maitrise dexcel connaissance dodoo souhaitee industrie ingénierie energie
ChargÉ(e) d’appels d’offres bac+5,,Industrie / Ingénierie / Energie,Casablanca,requises : - rigueur et organisation - capacite danalyse et de synthese - gestion des priorites et respect des delais - esprit de coordination et travail en equipe - bonne maitrise dexcel (odoo est un atout),"de 2 a 5 ans dans un poste similaire - bonne maitrise de la reglementation des marches publics au maroc - maitrise des outils bureautiques (word, excel, pdf) et des plateformes dediees - excellentes capacites redactionnelles",Interim,charger appel offre requérir rigueur organisation capacit danalyse synthese gestion priorite respect delai esprit coordination travail equipe maitrise dexcel odoo atout industrie ingénierie energie
Vendeuse expérimentée /,,Commercial / Vente,Casablanca,"excellent sens du relationnel et du service client. presentation soignee et attitude professionnelle. esprit dequipe, dynamisme et polyvalence","client unique. vous accueillez, conseillez et accompagnez la clientele dans ses achats, tout en veillant a la mise en valeur des produits et au maintien de limage raffinee du magasin.",Interim,vendeus expérimenter excellent sens relationnel service client presentation soigne attitude professionnel esprit dequip dynamism polyvalence commercial vente
Commercial senior et comptable junior,,Immobilier,Casablanca,"- minimum 10 ans dexperience confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior","confirmee dans la vente immobiliere - solide expertise commerciale et capacite a conclure des ventes a forte valeur - maitrise avancee des outils digitaux et des strategies de generation de leads - sens du relationnel, autonomie et culture du resultat - un comptable junior",CDI,commercial senior comptable junior minimum dexperience confirme vente immobilier solide expertis commercial capacite conclure vente fort valeur maitrise avance outil digital strategie generation lead relationnel autonomie culture resultat comptable junior immobilier
Agent de réservation,,Tourisme / Hôtellerie / Restauration,Tanger,"requises : bonne communication orale et ecrite sens du service client maitrise des outils informatiques et logiciels hoteliers (pms) organisation et rigueur capacite a travailler sous pression connaissance des langues etrangeres (francais, anglais... indispensable)",dans un poste similaire souhaitee bonne presentation et sens de laccueil,A discuter,agent réservation requis communication oral ecrite service client maitrise outil informatique logiciel hotelier organisation rigueur capacit travailler pression connaissance langue etrangere francai anglais indispensable tourisme hôtellerie restauration
Opérateur de câblage en intérim,Confidentiel,Industrie / Ingénierie / Energie,Tanger,,,Interim,opérateur câblage intérim industrie ingénieri energie
Opérateurs de production / h tit melil,confidentiel,Industrie / Ingénierie / Energie,Casablanca,"requises : - solides connaissances en production industrielle, mecanique ou electromecanique - rigueur, ponctualite et bon esprit dequipe","minimum 1 an dans un poste similaire, idealement en milieu industriel - lieu de travail : tit melil - disponibilite : immediate souhaitee",A discuter,opérateur production heure melil requis solide connaissance production industriel mecaniqu electromecaniqu rigueur ponctualit esprit dequip industrie ingénierie energie
